" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1c2 [O] hist-ang (ang*-hisz*),"113,4","123,83","141,2"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1c3 [O] hist-ang (ang*-niem*),"110,2","120,28","136,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1A1 [O] mat-fiz-inf (ang-niem),"154,4","157,36","162,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1A2 [O] mat-fiz-inf (ang-fra),"152,2","157,76","169,8"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1B1 [O] mat-biol-chem (ang-niem),153,"156,71","161,2"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1B2 [O] mat-biol-chem (ang-fra),"152,8","155,99","166,2"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1C1 [O] mat-geogr-wos (ang-niem),148,"151,79","158,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1C2 [O] mat-geogr-wos (ang-fra),144,"151,75","169,4"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1D1 [O] ang-niem-geogr (ang-niem),"135,6","144,23","155,4"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1D2 [O] ang-franc-geogr (ang-fra),"132,4","139,33","149,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1E1 [O] ang-geogr-wos (ang-niem),"141,6","146,48","156,2"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1E2 [O] ang-geogr-wos (ang-fra),140,"146,29","155,8"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1f1 [O] pol-hist-wos (ang-niem),"140,4","145,71","152,8"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1f2 [O] pol-hist-wos (ang-fra),"137,8","142,39","148,8"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1A [O] pol-mat (ang-niem*),"124,4","137,01","167,2"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1Bh [O] wos-ang-hiszp (ang-hisz*),"138,2","144,44","155,6"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1Bn [O] wos-ang-niem (ang-niem*),"136,6","146,32","166,4"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1C [O] mat-inf (ang-niem*),"139,2","147,63","168,2"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1D [O] biol-niem (ang-niem*),"114,6","132,47","151,4"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1E [D] geogr-niem-wos (ang-niem),170*,"186,6*","208,2*"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1Fh [O] geogr-mat-hiszp (ang-hisz*),"143,4","148,22","155,4"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1Fn [O] geogr-mat-niem (ang-niem*),"137,8","145,71","168,8"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1a1 [O] mat-fiz (ang-niem),"173,4","178,04","
laureat/ci"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1a2 [O] mat-fiz (ang-niem),172,"175,34",185
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1b1 [O] mat-fiz (ang-fra),"169,2","171,57","183,4"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1b2 [O] mat-fiz (ang-fra),"166,8","168,48","172,6"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1d1 [O] biol-chem-mat (ang-niem),"171,4","174,71","185,8"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1d2 [O] biol-chem-mat (ang-fra),"169,8","172,99","178,8"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1e1 [O] mat-fiz-inf (ang-niem),173,"176,28","
laureat/ci"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1e2 [O] mat-fiz-inf (ang-fra),"169,4","173,24","
laureat/ci"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1f1 [O] pol-hist-wos (ang-niem),166,"169,61","
laureat/ci"
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1f2 [O] pol-hist-wos (ang-fra),161,"168,60",182
Mokotów,LO,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,1g1 [O] ros-geogr-mat (ang-ros),"162,6","167,11","
laureat/ci"
Mokotów,LO,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,1a [O] mat-geogr-hiszp (ang-hisz*),161,"165,82","177,4"
Mokotów,LO,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,1b [O] mat-biol-hiszp (ang-hisz*),"155,2","159,54","170,4"
Mokotów,LO,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,1c [O] pol-hist-h.szt. (ang-hisz*),193*,"219,24*","258,2*"
Mokotów,LO,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,1j [D] hist-geogr-hiszp (hisz-ang),"167,21*","182,52*","
laureat/ci"
Mokotów,LO,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,1k [O] pol-hist-wos (ang-hisz*),150,"156,08","169,8"
Mokotów,LO,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,1l [O] pol-hist-hiszp (ang-hisz*),150,"158,43",168
Ochota,LO,Branżowa Szkoła Samochodowa I stopnia nr 2,"1a,b/bsI [O] Mechanik pojazdów samochodowych (ang*)","37,8","69,45",126
Ochota,LO,"CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego ""Grota""","1a1 [O] mat-fiz-inf (ang-hisz*,niem*,fra)","126,6","136,85","152,8"
Ochota,LO,"CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego ""Grota""","1a2 [O] mat-ang-geogr (ang-hisz*,niem*,fra)","110,4","129,79","162,8"
Ochota,LO,"CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego ""Grota""","1b [O] hist-wos-ang (ang-hisz*,niem*,fra)","103,8","121,78","151,6"
Ochota,LO,"CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego ""Grota""","1c [O] biol-chem-ang (ang-hisz*,niem*,fra)","92,8","125,42","158,4"
Ochota,LO,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,"1a,b [I-o] pol-ang-hist (ang*-niem*,ros*)","83,4","94,79","128,4"
Ochota,LO,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,"1c [I-o] biol-geogr-ang (ang*-niem*,ros*)","52,4","86,58",114
Ochota,LO,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,"1d [O] geogr-ang-wos (ang*-niem*,ros*)","57,4","90,07",144
Ochota,LO,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,"1e [O] biol-ang-pol (ang*-niem*,ros*)","31,8","85,81","139,4"
Ochota,T,Technikum nr 10 im. Eugeniusza Kwiatkowskiego,1AE [O] Technik ekonomista (ang-niem*),70,"98,55","160,8"
Ochota,T,Technikum nr 10 im. Eugeniusza Kwiatkowskiego,1AH [O] Technik handlowiec (ang-niem*),44,"72,89",108
Ochota,T,Technikum nr 10 im. Eugeniusza Kwiatkowskiego,1AR [O] Technik organizacji reklamy (ang-ros*),"59,6","80,68",109
Ochota,T,Technikum nr 10 im. Eugeniusza Kwiatkowskiego,1 ATn [O] Technik obsługi turystycznej (ang-niem*),"70,8","87,68","106,6"
Ochota,T,Technikum nr 10 im. Eugeniusza Kwiatkowskiego,1 ATr [O] Technik obsługi turystycznej (ang-ros*),"48,6","84,40","122,8"
Ochota,T,Technikum nr 24,"1A,B,C,D [O] Technik informatyk (ang*-ros*,niem*)","86,8","107,22","154,2"
Ochota,T,Technikum nr 24,"1E,F [O] Technik grafiki i poligrafii cyfrowej (ang*-ros*,niem*)",87,"111,41",151
Ochota,T,Technikum nr 7,1a [O] Technik elektryk (ang-niem*),"55,2","86,40","136,8"
Ochota,T,Technikum nr 7,1b [O] Technik mechatronik (ang-niem*),109,"128,74","161,2"
Ochota,T,Technikum nr 7,1c [O] Technik elektroenergetyk transportu szynowego (ang-niem*),"90,4","116,88","160,6"
Ochota,T,Technikum nr 7,1e [O] Technik logistyk (ang-niem*),94,"113,56","149,8"
Ochota,T,Technikum nr 7,1f [O] Technik spedytor (ang-niem*),"50,8","82,51",107
Ochota,T,Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,1a [O] Technik pojazdów samochodowych (ang*-niem*),"61,8","87,29",123
Ochota,T,Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,1b [O] Technik pojazdów samochodowych (ang*-niem*),"56,4","82,41","126,8"
Ochota,T,Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,1c [O] Technik pojazdów samochodowych (ang*-niem*),"43,4","56,96","83,8"
Ochota,T,Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,1d [O] Technik pojazdów samochodowych (ang*-niem*),"40,4","77,48","116,4"
Ochota,T,Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,1e [O] Technik pojazdów samochodowych (ang*-ros*),"60,8","91,41","147,6"
Ochota,LO,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,1A [O] hist-wos (ang-fra*),"161,6","167,06","177,8"
Ochota,LO,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,1B [O] geogr-mat (ang-niem*),"167,8","172,47","177,6"
Ochota,LO,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,1C [O] mat-inf (ang-niem*),"169,8","173,19",181
Ochota,LO,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,1D [O] pol-hist (ang-fra*),"165,8","172,10","
laureat/ci"
Ochota,LO,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,1E [O] pol-hist (ang-fra*),161,"167,78","
laureat/ci"
Ochota,LO,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,1F [O] biol-chem-mat (ang-niem*),168,"173,25","182,2"
Ochota,LO,XIV Liceum Ogólnokształcące im. Stanisława Staszica,"1AB [O] mat-fiz (ang-hisz*,niem*)","384,2*","423,27*","
laureat/ci"
Ochota,LO,XIV Liceum Ogólnokształcące im. Stanisława Staszica,"1C [O] mat-inf-fiz (ang-hisz*,niem*)",Laureat,Laureat,Laureat
Ochota,LO,XIV Liceum Ogólnokształcące im. Stanisława Staszica,"1DE [O] biol-chem-mat (ang*-hisz*,niem*)",175,"182,81","
laureat/ci"
Ochota,LO,XIV Liceum Ogólnokształcące im. Stanisława Staszica,"1F [O] chem-fiz-mat (ang-hisz*,niem*)","177,4","183,42","
laureat/ci"
Ochota,LO,XIV Liceum Ogólnokształcące im. Stanisława Staszica,"1G [O] fiz-mat (ang*-hisz*,niem*)","186,8","190,37","
laureat/ci"
Ochota,LO,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,"1A [O] pol-hist (ang-niem*,ros*)","120,8","129,12","147,2"
Ochota,LO,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,"1B [O] biol-chem (ang-niem*,ros*)","138,2","146,78","159,8"
Ochota,LO,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,"1C [O] ang-geogr (ang-niem*,ros*)","126,4","136,05","158,6"
Ochota,LO,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,"1D [O] mat-fiz-inf (ang-niem*,ros*)","144,4","150,70","161,4"
Ochota,LO,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,"1E [O] hist-wos (ang-niem*,ros*)",116,"124,90","151,6"
Ochota,LO,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,"1F [O] mat-geogr (ang-niem*,ros*)","132,8","140,48","159,4"
Ochota,LO,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,"1a [O] mat-fiz (ang-fra*,niem*,hisz*,ros*)",161,"163,40","169,6"
Ochota,LO,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,"1b [O] mat-ang-geogr (ang-fra*,hisz*,niem*,ros*)",160,"163,92","176,4"
Ochota,LO,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,"1c [O] pol-hist (ang-fra*,hisz*,niem*,ros*)",153,"157,43",172
Ochota,LO,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,"1d [O] biol-chem (ang-fra*,hisz*,niem*,ros*)","161,6","165,40",176
Ochota,LO,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,"1e [O] mat-inf-fiz (ang-fra*,hisz*,niem*,ros*)","164,2","167,27","176,4"
Ochota,LO,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,"1f [O] hist-wos (ang-fra*,hisz*,niem*,ros*)","150,2","156,03","171,2"
Praga-Południe,Br. I st.,Branżowa Szkoła I stopnia nr 20 im. prof. Stanisława Bergera,1c [O] Cukiernik (ang*),39,"57,04","117,4"
Praga-Południe,Br. I st.,Branżowa Szkoła I stopnia nr 20 im. prof. Stanisława Bergera,1k [O] Kucharz (ang*),"51,2","69,83","90,8"
Praga-Południe,Br. I st.,Branżowa Szkoła I stopnia nr 20 im. prof. Stanisława Bergera,1p [O] Piekarz (ang*),"38,6","54,53","69,4"
Praga-Południe,Br. I st.,Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II,1a [O] Kucharz (ang),"47,2","60,89","83,4"
Praga-Południe,LO,CXI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,1Aa [I-o] pol-hist-ang (ang-niem),"44,6","75,55",133
Praga-Południe,LO,IV Liceum Ogólnokształcące im. Adama Mickiewicza,1A [O] mat-ang (ang-niem),"146,4","151,15","160,6"
Praga-Południe,LO,IV Liceum Ogólnokształcące im. Adama Mickiewicza,1B [O] geogr-wos-ang (ang-niem),"140,8","147,54","160,8"
Praga-Południe,LO,IV Liceum Ogólnokształcące im. Adama Mickiewicza,1C [O] mat-inf (ang-niem),"144,8","151,45","161,6"
Praga-Południe,LO,IV Liceum Ogólnokształcące im. Adama Mickiewicza,1E [O] biol-chem (ang-niem),146,"151,83","166,4"
Praga-Południe,LO,IV Liceum Ogólnokształcące im. Adama Mickiewicza,1H [O] pol-ang (ang-fra),"136,2","141,82","155,6"
Praga-Południe,LO,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,"1a [O] pol-wos (ang-niem*,hisz*)","91,6","100,92",125
Praga-Południe,LO,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,"1b [O] ang-wos (ang-hisz*,niem*)","95,6","108,92","128,8"
Praga-Południe,LO,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,"1c [O] ang-mat (ang-ros*,niem*)","83,4","104,75","139,6"
Praga-Południe,LO,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,"1d [O] ang-biol (ang-ros*,niem*)","95,8","118,64","164,2"
Praga-Południe,T,Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. Stanisława Bergera,"1d,e,f [O] Technik żywienia i usług gastronomicznych (ang-niem)","36,4","67,95","138,6"
Praga-Południe,T,Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. Stanisława Bergera,1h [O] Technik hotelarstwa (ang-niem),"46,4","69,29","137,4"
Praga-Południe,T,Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego,1a [O] Technik telekomunikacji (ang-niem),"59,8","85,20","117,6"
Praga-Południe,T,Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego,"1bc [O] Technik informatyk (ang-niem,ros)","110,2","123,98","151,2"
Praga-Południe,T,Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego,1d [O] Technik teleinformatyk (ang-niem),107,"120,66","156,6"
Praga-Południe,T,Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego,1e [O] Technik szerokopasmowej komunikacji elektronicznej (ang-niem),61,"93,25","129,4"
Praga-Południe,T,Technikum nr 12,1at [O] Technik obsługi turystycznej (ang-hisz),"30,4","70,15","107,6"
Praga-Południe,T,Technikum nr 12,1 log [O] Technik logistyk (ang-hisz),70,"91,38","145,2"
Praga-Południe,T,Technikum nr 2 z Oddziałami Integracyjnymi,1ae [I-o] Technik ekonomista (ang-niem),"52,6","67,40","84,6"
Praga-Południe,T,Technikum nr 27 im. prof. Józefa Zawadzkiego,"1Fa [O] Technik usług fryzjerskich (ang-niem,hisz)","49,2","85,69",116
Praga-Południe,T,Technikum nr 27 im. prof. Józefa Zawadzkiego,1Fb [O] Technik usług fryzjerskich (ang-niem*),"40,8","80,56","121,8"
Praga-Południe,T,Technikum nr 27 im. prof. Józefa Zawadzkiego,1Ta [O] Technik analityk (ang-niem*),"63,8","110,95",160
Praga-Południe,T,Technikum nr 27 im. prof. Józefa Zawadzkiego,"1Tb [O] Technik analityk (ang*-niem,hisz)","103,2","132,91","167,8"
Praga-Południe,T,Technikum nr 27 im. prof. Józefa Zawadzkiego,1Tk [O] Technik chłodnictwa i klimatyzacji (ang*-niem*),"41,4","89,33","143,6"
Praga-Południe,T,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,"1A,B [O] Technik żywienia i usług gastronomicznych (ang-niem)",51,"76,32","130,6"
Praga-Południe,T,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,1C [O] Technik żywienia i usług gastronomicznych (ang-hisz),"37,8","69,68","106,4"
Praga-Południe,T,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,1E [O] Kelner (ang-niem),"45,8","60,93","88,6"
Praga-Południe,T,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,1F [O] Technik technologii żywności (ang-niem),"60,2","86,65","139,4"
Praga-Południe,LO,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,"1A [O] pol-hist (ang-fra*,niem*,ros*)","131,2","138,07","154,2"
Praga-Południe,LO,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,"1B [O] fiz-mat (ang-fra*,niem*,ros*)","135,2","145,09","162,2"
Praga-Południe,LO,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,"1D [O] geogr-mat (ang-fra*,niem*,ros*)","141,8","149,31","161,8"
Praga-Południe,LO,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,"1E [D] hist-pol-wos (ang-fra*,niem*,ros*)","116,53*","142,42*","168,8*"
Praga-Południe,LO,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,"1F [O] biol-chem-mat (ang-fra*,niem*,ros*)","137,2","144,24","159,8"
Praga-Południe,LO,XCVI Liceum Ogólnokształcące im. Agnieszki Osieckiej,1La [O] pol-hist (ang-fra),"88,6","107,05","137,6"
Praga-Południe,LO,XCVII Liceum Ogólnokształcące im. Olimpijczyków Polskich,1la [S] biol-ang (ang-niem),388**,"406,7**",444**
Praga-Południe,LO,XCVII Liceum Ogólnokształcące im. Olimpijczyków Polskich,1pn [S] biol-ang (ang-niem),82**,"86,37**",91**
Praga-Południe,LO,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,"1a [O] mat-biol-chem (ang-niem*,fra*,ros*)","159,4","163,23","172,2"
Praga-Południe,LO,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,"1b [O] pol-hist-wos (ang-niem*,fra*,ros*)","150,8","157,54","171,4"
Praga-Południe,LO,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,"1c [O] mat-geogr-ang (ang-niem*,fra*,ros*)",157,"162,85","178,4"
Praga-Południe,LO,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,"1d [O] mat-fiz-ang (ang-niem*,fra*,ros*)","159,4","164,44","178,2"
Praga-Południe,LO,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,"1e [O] biol-chem-fiz (ang-niem*,fra*,ros*)","152,2","155,77","168,6"
Praga-Południe,LO,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,"1A [O] mat-fiz-inf (ang-fra*,niem*,ros*)","130,8","141,37","169,8"
Praga-Południe,LO,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,"1B [O] mat-geogr-ang (ang-fra*,niem*,ros*)","130,6","136,26","151,4"
Praga-Południe,LO,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,"1C [O] biol-chem-ang (ang-fra*,niem*,ros*)","127,4","137,24","159,8"
Praga-Południe,LO,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,"1E [O] pol-hist-wos (ang-fra*,niem*,ros*)","120,4","131,26",161
Praga-Południe,LO,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,"1F [O] mat-biol-chem (ang-fra*,niem*,ros*)","116,8","132,16","163,6"
Praga-Południe,LO,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,"1A [O] ang (ang-niem,hisz)",98,"111,86","148,4"
Praga-Południe,LO,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,"1B [O] ang-wos (ang-hisz,niem*)",91,"107,71","133,8"
Praga-Południe,LO,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,"1C [O] biol-ang (ang-niem*,hisz)","96,6","114,46",159
Praga-Południe,LO,XXXV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bolesława Prusa,"1A1 [D] mat-geogr-wos (ang-fra*,hisz*,niem*)","167,09*","175,93*","
laureat/ci"
Praga-Południe,LO,XXXV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bolesława Prusa,"1A2 [D] biol-chem (ang-fra*,hisz*,niem*)","160,4*","171,08*","194,16*"
