dzielnica,nazwa szkoły,ulica,nr,kod,miasto,numer ewidencyjny
Białołęka,Niepubliczne Liceum Ogólnokształcące dla Dorosłych w Warszawie,Strumykowa,21,03-138,Warszawa,213 LO
Bielany,"Liceum Ogólnokształcące dla Dorosłych ""EXPERTUS"" w Warszawie",W. Perzyńskiego,10,01-883,Warszawa,317 LO
Mokotów,Niepubliczne Internetowe Liceum Ogólnokształcące Dla Dorosłych ALFA,Jana III Sobieskiego,68,02-930,Warszawa,225 LO
Mokotów,ATENA  Liceum Ogólnokształcace dla Dorosłych w Warszawie,Konstruktorska,13,02-673,Warszawa,315 LO
Mokotów,GREENEDU  Liceum Ogólnokształcace dla Dorosłych w Warszawie,Konstruktorska,13,02-673,Warszawa,314 LO
Ochota,"Liceum Ogólnokształcace dla Dorosłych ""Educatio"" w Warszawie",Nowowiejska ,37a,02-010,Warszawa,262 LO
Praga Południe,Liceum Ogólnokształcące Niepubliczne dla Dorosłych nr 16,al.. Stanów Zjednoczonych ,24,03-964,Warszawa,43 LO
Praga Południe,Liceum Ogólnokształcące dla Dorosłych Elita,al.. Stanów Zjednoczonych,51,04-026,Warszawa,117 LO
Praga Południe,Liceum Ogólnokształcące dla Dorosłych,Kaleńska,3,04-367,Warszawa,161 LO
Praga Pólnoc,Liceum Ogólnokształcące dla Dorosłych,Ratuszowa,11,03-450,Warszawa,252 LO
Praga Północ,Liceum Ogólnokształcące dla Dorosłych,Kowelska,1,03-432,Warszawa,255 LO
Wola,"Liceum Ogólnokształcące dla Dorosłych ""Żak"" w Warszawie",Okopowa,59,01-043,Warszawa,284 LO
Śródmieście,WARS  Liceum Ogólnokształcące dla Dorosłych w Warszawie (I miejsce ul.Górnośląska 31),Al.. Jerozolimskie,49/29,00-697,Warszawa,164 LO
Śródmieście,Warszawskie Akademickie Liceum Ogólnokształcące,Polna,5,00-625,Warszawa,316 LO
Śródmieście,Liceum Ogólnokształcące dla Dorosłych ,Karmelicka,9,00-155,Warszawa,294 LO
Śródmieście,NOVA Niepubliczne Liceum Ogólnokształcące dla Dorosłych,Widok,8,00-023,Warszawa,200 LO
Śródmieście,Zaoczne Liceum Ogolnokształcące Cosinus II w Warszawie (I miejsce Kasprzaka 1/3; (I miejsce ul. Felińskiego 13; III miejsce ul. Fundamentowa 38/42),Stawki ,10,00-193,Warszawa,260 LO
Śródmieście,"Liceum Ogólnokształcące dla Dorosłych ""Archimedes"" w Warszawie (I miejsce:  ul. Rejtana 16, II miejsce: ul. Siennicka 15)",Chmielna,98,00-801,Warszawa,288 LO
Śródmieście,NESTOR Liceum Ogólnokształcące dla Dorosłych w Warszawie,Emiliana Konopczyńskiego ,4,00-335,Warszawa,296 LO
Śródmieście,TopEdu Liceum Ogólnokształcące dla Dorosłych w Warszawie,Emiliana Konopczyńskiego ,4,00-335,Warszawa,313 LO
Śródmieście,PIONIER Liceum Ogólnokształcące dla Dorosłych w Warszawie,Emiliana Konopczyńskiego ,4,00-335,Warszawa,312 LO
Targówek,AS-Liceum Ogólnokształcące dla Dorosłych,Żuromińska,4,03-341,Warszawa,238 LO
Targówek,Liceum Ogólnokształcące dla Dorosłych Zacisze,Radzymińska,242,03-674,Warszawa,250 LO
Ursynów,Liceum Ogólnokształcące Niepubliczne dla Dorosłych nr 3,Bobrowiecka,9,00-728,Warszawa,8 LO
Ursynów,"Zaoczne Liceum Ogólnokształcące ""COSINUS III"" w Warszawie (II miejsce ul. Powstańców Wilekopolskich 4,  ul. Łucka 13,III miejsce: Ratuszowa 13)",S. Szolc-Rogozińskiego ,2,02-777,Warszawa,156 LO
Ursynów,EDULIDER Liceum Ogólnokształcace dla Dorosłych w Warszawie,Sarabandy,16/22,02-868,Warszawa,311 LO
Ursynów,PRYMUS Liceum Ogólnokształcace dla Dorosłych w Warszawie,Sarabandy,16/22,02-868,Warszawa,310 LO
Wesoła,Liceum Ogólnokształcące Niepubliczne  w Wesołej (II miejsce ul. Kruszyny 14a),Kruszyny,28,05-077,Warszawa,105 LO
Śródmieście,Profesja Edukacja Liceum Ogólnokształcące  w Warszawie (m. prowadz. Polna 7),Świętokrzyska ,18 lok. 325,00-867,Warszawa,265 LO
Wola,Niepubliczne Liceum Ogólnokształcące dla Dorosłych przy Warszawskiej Szkole Zarządzania - Szkole Wyższej,Siedmiogrodzka,3a,01-204,Warszawa,285 LO