dzielnica,Nazwa szkoły,ulica,nr,kod,miasto,Zawód,numer ewidencyjny
Białołęka,Policealna Szkoła Farmaceutyczna w Warszawie Białołęce,V. van Gogha,1,03-188,Warszawa,technik farmaceutyczny,388 Z
Bielany,Szkoła Policealna EXPERTUS,W. Perzyńskiego ,10,01-883,Warszawa,"technik informatyk
technik administracji
technik bezpieczeństwa i higieny pracy",203 Z
Mokotów,GREENEDU Szkoła Policealna w Warszawa,Konstruktorska,13,02-673,Warszawa,"asystent osoby niepełnosprawnej
opiekunka środowiskowa
opiekun w domu pomocy społecznej
technik administracji
technik archiwista
technik bezpieczeństwa i higieny pracy
florysta
technik usług kosmetycznych
opiekunka dziecięca
",492 Z
Ochota,"Europejskie Centrum Opieki Długoterminowej
Policealna Szkoła dla Opiekunów Medycznych w Warszawie",S. Banacha ,1a,02-097,Warszawa,opiekun medyczny,471 Z
Ochota," Szkoła Policealna  ""Educatio"" ",Nowowiejska,37a,02-010,Warszawa,technik Administracji                                                 technik ochrony fizycznej osób i mienia                                                technik bezpieczeństwa i higieny pracy                                         technik rachunkowości                                    technik usług kosmetycznych                                  technik informatyk                                       florysta,441 Z
Ochota,Policealne Studium Informatyki     i Rachunkowości,Sędziowska ,1,02-081,Warszawa,technik informatyk   ,23 Z
Ochota,Szkoła Policealna Studium Pracowników Medycznych i Społecznych,Grójecka,93,02-101,Warszawa,"opiekun medyczny, technik masażysta, terapeuta zajęciowy, higienistka stomatologiczna, protetyk słuchu, ortoptystka, technik elektroradiolog, technik dentystyczny, asystentka stomatologiczna, technik farmaceutyczny, technik ortopeda, technik usług kosmetycznych, technik optyk, technik administracji
",468 Z
Praga Południe,Policealna Szkoła Kosmetyczna ,Kaleńska,3,04-367,Warszawa,"technik usług kosmetycznych
",357 Z
Praga Południe,Policealna Szkoła Medyczna,Kaleńska,3,04-367,Warszawa,"technik usług kosmetycznych
technik masażysta
technik dentystyczny
technik elektroradiolog
opiekun medyczny
opiekun osoby starszej
",137 Z
Praga Południe,Policealna Szkoła Optyczna Teresa Piotrowska,Siennicka ,15,04-395,Warszawa,technik optyk,75 Z
Praga Południe,Policealna Szkoła Zawodowa,Kaleńska,3,04-367,Warszawa,"technik administracji
technik bezpieczeństwa i higieny pracy
technik informatyk                                                
opiekun osoby starszej",396 Z
Praga Południe,"Policealna Szkoła Medyczna ""Omega"" w Warszawie",Saska,78,03-914,Warszawa,"technik farmaceutyczny
technik dentystyczny ",175 Z
Praga Południe,Policealne Szkoła Zawodowa ELITA,al. Stanów Zjednoczonych ,51,04-028,Warszawa,"technik bezpieczeństwa i higieny pracy
technik administracji
",200 Z
Praga Południe,Policealne Szkoła Zawodowa MED.-ELITA w Warszawie,al. Stanów Zjednoczonych ,51,04-028,Warszawa,"higienistka stomatologiczna
asystentka stomatologiczna
technik sterylizacji medycznej
",425 Z
Praga Północ,Akademia Realizacji Dźwięku,Kijowska ,3,03-738,Warszawa,"technik realizacji dźwięku
technik realizacji nagrań
technik realizacji nagłośnień",463 Z
Praga Północ,Policealna Szkoła Kształcąca w Niektórych Zawodach Medycznych w Warszawie,Targowa,86,03-448,Warszawa,"asystentka stomatologiczna
higienistka stomatologiczna,                                              opiekun medyczny                                                               opiekunka dziecięca
asystent osoby niepełnosprawnej                             opiekun w domu pomocy społecznej",397 Z
Praga Północ,Policealna Szkoła Zawodowa START,Objazdowa,3,03-771,Warszawa,technik administracji                              technik rachunkowości                    technik usług kosmetycznych,482 Z
Wola,"Szkoła Policealna  Centrum Nauki i Biznesu ""Zak"" w Warszawie",Okopowa   ,59,01-043,Warszawa,"technik administracji
technik bezpieczeństwa i higieny pracy
florysta
opiekun osoby starszej
opiekun w domu pomocy społecznej
opiekunka środowiskowa
technik informatyk
technik rachunkowości
technik usług kosmetycznych
technik ochrony fizycznej osób i mienia
technik eksploatacji portów i terminali",475 Z
Wola,Szkoła Policealna  Opieki Medycznej „Żak” w Warszawie,Okopowa   ,59,01-043,Warszawa,opiekun medyczny,478 Z
Praga Północ,Policealna Szkoła Zawodowa Edicus w Warszawie,Kawęczyńska,36,03-772,Warszawa,"technik bezpieczeństwa i higieny pracy                                                                          technik administracji,                                     technik rachunkowości                                   technik usług kosmetycznych                                       protetyk słuchu                                                                opiekun medyczny                                                       ortoptystka                      opiekun osoby starszej                                                    terapeuta zajęciowy",469 Z
Praga Północ,Policealna Warszawska Szkoła Medyczna (II miejsce prowadzenia ul. Objazdowa 3,Ząbkowska,42,03-735,Warszawa,"asystentka stomatologiczna
higienistka stomatologiczna 
technik sterylizacji medycznej
technik masażysta
opiekun medyczny",403 Z
Praga Północ,Prywatna Szkoła Policealna nr 1 dla Dorosłych w Prywatnym Centrum Kształcenia Zawodowego ,Kijowska ,3,03-738,Warszawa,"technik weterynarii
",356 Z
Praga Północ,"Prywatna Szkoła Policealna nr 1
w Prywatnym Centrum Kształcenia Zawodowego ",Kijowska ,3,03-738,Warszawa,technik weterynarii,121 Z
Praga Północ,Regionalny Ośrodek Edukacji Szkoła Policealna,Kawęczyńska ,36,03-772,Warszawa,"
technik realizacji dźwięku
asystent kierownika produkcji  filmowej/ telewizyjnej
technik realizacji nagrań,
technik realizacji nagłośnień",394 Z
Śródmieście," Policealna Szkoła  ""COSINUS III"" w Warszawie  (  II miejsce ul. Ratuszowa 13; III miejsce ul. Van Gogha 1, IV miejsce: Fundamentowa 38/42, V miejsce: ul. Burdzinskiego 4)",Stawki ,10,00-193,Warszawa,"technik administracji, technik turystyki wiejskiej, technik usług kosmetycznych, technik bezpieczeństwa i higieny pracy, asystent kierownika produkcji filmowej/telewizyjnej, technik informatyk, technik usług pocztowych i finansowych, florysta, technik weterynarii, technik archiwista",438 Z
Śródmieście,ALLMED.EDU Policealna Szkoła Zawodowa w Warszawie (I miejsce ul. Czerniakowska 128),Al.. Solidarności,117/810,00-140,Warszawa,"asystentka stomatologiczna
asystent osoby niepełnosprawnej, florysta, opiekun medyczny, opiekunka środowiskowa, technik sterylizacji medycznej",480 Z
Śródmieście,WARS Policealna Szkoła Medyczna w Warszawie (I m. prowadzenia  ul. Górnośląska 31),Al.. Jerozolimskie ,49/29,00-697,Warszawa,"opiekun medyczny
technik masażysta
asystentka stomatologiczna
higienistka stomatologiczna",421 Z
Śródmieście,WARS Policealna Szkoła Zawodowa w Warszawie  (I m. ul. Górnośląska 31 ),Al. Jerozolimskie ,49/29,00-697,Warszawa,"technik informatyk
technik administracji
technik usług kosmetycznych
technik rachunkowości
technik bhp
technik usług pocztowych i finansowych
opiekunka środowiskowa
opiekun w domu pomocy społecznej
technik geodeta
technik drogownictwa
technik optyk
technik pojazdów samochodowych
florysta
technik weterynarii
technik teleinformatyk
technik archiwista
technik transportu drogowego
technik turystyki wiejskiej",295 Z
Śródmieście,COLLEGIUM - Policealna Szkoła Służb Medycznych i Społecznych,Stawki ,10,00-193,Warszawa,"higienistka stomatologiczna                            asystentka stomatologiczna                                  technik sterylizacji medycznej
asystent osoby niepełnosprawnej
opiekunka środowiskowa
opiekun w domu opieki społecznej
opiekun medyczny
technik masażysta
technik ortopeda",210 Z
Śródmieście,COLLEGIUM - Policealna Szkoła Służb Medycznych   ,Stawki ,10,00-193,Warszawa,"terapeuta zajęciowy
technik masażysta
opiekunka dziecięca
technik farmaceutyczny
technik elektroradiolog
ortoptystka
higienistka stomatologiczna
asystentka stomatologiczna
technik dentystyczny
technik ortopeda",220 Z
Śródmieście,Niepubliczne Policealne Studium Prawa i Administracji Zrzeszenia Prawników Polskich,Bracka,20a,00-028,Warszawa,technik administracji,73 Z
Śródmieście,NOVA Policealna Szkoła Medyczna w Warszawie,Widok,8,00-023,Warszawa,"opiekun medyczny
opiekunka dziecięca",451 Z
Śródmieście,NOVA Policealna Szkoła Zawodowa,Widok,8,00-023,Warszawa,"technik informatyk
technik bezpieczeństwa i higieny pracy
technik administracji
technik rachunkowości
technik usług kosmetycznych
opiekunka środowiskowa
technik geodeta
asystent osoby niepełnosprawnej
opiekun osoby starszej
opiekun w domu pomocy społecznej, 
technik turystyki wiejskiej
florysta    
technik weterynarii
technik masażysta
asystentka stomatologiczna
higienistka stomatologiczna                                                                              
technik archiwista
technik ochrony osób i mienia
technik optyk
",302 Z
Śródmieście,Policealna Szkoła Asystentów Stomatologicznych,Karmelicka,9,00-155,Warszawa,asystentka stomatologiczna,459 Z
Śródmieście,"""Progres Szkoła Policealna W Warszawie",Smolna ,13,00-375,Warszawa,"
technik administracji
technik archiwista
technik bhp
technik informatyk
technik usług kosmetycznych
opiekunka dziecięca ",269 Z
Śródmieście,Policealna Szkoła Farmaceutyczna,Karmelicka,9,00-155,Warszawa,technik farmaceutyczny,455 Z
Śródmieście,Policealna Szkoła Higienistów Stomatologicznych,Karmelicka,9,00-155,Warszawa,higienistka stomatologiczna,462 Z
Śródmieście,Policealna Szkoła Informatyczna,Karmelicka,9,00-155,Warszawa,technik Informatyk,443 Z
Śródmieście,Policealna Szkoła Kosmetyczna,Karmelicka,9,00-155,Warszawa,technik usług kosmetycznych,457 Z
Śródmieście,"Policealna Szkoła Kosmetyki, Pielęgnacji Zdrowia i Urody   Zakładu Doskonalenia Zawodowego",Podwale ,13,00-252,Warszawa,technik usług kosmetycznych,14 Z
Śródmieście,Policealna Szkoła Opiekunów Medycznych,Karmelicka,9,00-155,Warszawa,opiekun medyczny,454 Z
Śródmieście,Policealna Szkoła Ortoptystek,Karmelicka,9,00-155,Warszawa,ortoptystka,477 Z
Śródmieście,Policealna Szkoła Protetyki Słuchu,Karmelicka,9,00-155,Warszawa,protetyk słuchu,458 Z
Śródmieście,Policealna Szkoła Sterylizacji Medycznej,Karmelicka,9,00-155,Warszawa,technik sterylizacji medycznej,471 Z
Śródmieście,Policealna Szkoła Szkoła Masażu,Karmelicka,9,00-155,Warszawa,technik masażysta,456 Z
Śródmieście,Policealna Szkoła Techników Dentystycznych,Karmelicka,9,00-155,Warszawa,technik dentystyczny,464 Z
Śródmieście,Policealna Szkoła Techników Elektroradiologów,Karmelicka,9,00-155,Warszawa,technik elektroradiolog,470 Z
Śródmieście,Policealna Szkoła Techników Optyków,Karmelicka,9,00-155,Warszawa,technik optyk,446 Z
Śródmieście,Policealna Szkoła Terapeutów Zajęciowych,Karmelicka,9,00-155,Warszawa,terapeuta zajęciowy,460 Z
Śródmieście,Policealna Szkoła Weterynarii,Karmelicka,9,00-155,Warszawa,technik weterynarii,453 Z
Śródmieście,Policealne Studium Medycyny Sportu. Szkoła Policealna,Marszałkowska ,"99a, lok. 5b",00-693,Warszawa,"technik masażysta
technik sterylizacji medycznej                                                    opiekun medyczny",410 Z
Śródmieście,Policealne Studium Nagrań Dźwiękowych,Podwale ,13,00-252,Warszawa,"technik realizacji nagrań
technik realizacji nagłośnień",432 Z
Śródmieście,Profesja Edukacja Policealna Szkoła Zawodowa  w Warszawie,Świętokrzyska,18 lok. 225,00-867,Warszawa,"technik administracji                                  
technik informatyk
technik bezpieczeństwa i higieny pracy
florysta, asystentka stomatologiczna, higienistka stomatologiczna
technik usług kosmetycznych
technik rachunkowości
technik masażysta
opiekun medyczny
terapeuta zajęciowy",452 Z
Śródmieście,Szkoła Medyczna Go Work.pl,Żurawia,47/49,00-680,Warszawa,"technik farmaceutyczny
technik dentystyczny ",423 Z
Śródmieście,Szkoła Policealna Go Work.pl,Żurawia,47/49,00-680,Warszawa,"technik administracji
technik bezpieczeństwa i higieny pracy                                             technik ortopeda
technik usług kosmetycznych
technik masażysta
asystentka stomatologiczna                                 higienista stomatologiczna                                   technik ochrony fizycznej osób i mienia
florysta,
technik informatyk
opiekun medyczny
opiekun w domu pomocy społecznej
technik sterylizacji medycznej
protetyk słuchu                                                                 technik geodeta                                                                 technik archiwista
technik informatyk
technik rachunkowości
technik weterynarii",389 Z
Śródmieście,Szwajcarskie Centrum Edukacji,al.. Solidarności,117 lok. 705,00-140,Warszawa,"technik rachunkowości                                                     technik administracji
technik bezpieczeństwa i higieny pracy                         technik masażysta
technik informatyk
opiekun medyczny
",442 Z
Śródmieście,NESTOR Policealna Szkoła Zawodowa w Warszawie,Emiliana Konopczyńskiego,4,00-335,Warszawa,"opiekun w domu pomocy społecznej
technik administracji
technik archiwista
technik bezpieczeństwa i higieny pracy
florysta
technik informatyk
technik rachunkowości
technik turystyki wiejskiej
technik usług kosmetycznych
technik weterynarii
opiekunka dziecięca                                       opiekun medyczny                asystentka stomatologiczna                           higienistka stomatologiczna      technik masażysta       terapeuta zajęciowy",483 Z
Śródmieście,TopEdu Policealna Szkoła Zawodowa w Warszawie,Emiliana Konopczyńskiego,4,00-336,Warszawa,"asystent osoby niepełnosprawnej
opiekunka środowiskowa
opiekun w domu pomocy społecznej
technik administracji
technik archiwista
technik bezpieczeństwa i higieny pracy, florysta
technik usług kosmetycznych
opiekunka dziecięca
",491 Z
Śródmieście,PIONIER Policealna Szkoła Zawodowa w Warszawie,Emiliana Konopczyńskiego,5,00-337,Warszawa,"asystent osoby niepełnosprawnej
opiekunka środowiskowa
opiekun w domu pomocy społecznej
technik administracji
technik archiwista
technik bezpieczeństwa i higieny pracy, florysta
technik usług kosmetycznych
opiekunka dziecięca
",490 Z
Śródmieście,"Policealna Szkoła Zawodowa Centrum Nauki Biznesu i Administracji w Warszawie (I miejsce:  ul. Rejtana 16, II miejsce: ul. Siennicka 15)",Marszałkowska ,8 m. 8,00-590,Warszawa,"technik administracji                                                 technik bezpieczeństwa i higieny pracy,                                                                     technik rachunkowości,                                   opiekun medyczny                                                        technik usług kosmetycznych
technik masażysta",479 Z
Targówek,Policealna Szkoła Zawodowa EDICUS II,Trocka ,4,03-563,Warszawa,technik administracji                                                    technik usług kosmetycznych                                       technik rachunkowości                             technik bezpieczeństwa i higieny pracy,484 Z
Targówek,Policealna Szkoła Zawodowa Zacisze,Radzymińska,242,03-674,Warszawa,"technik administracji
technik usług kosmetycznych
technik rachunkowości                                                                        
asystent osoby niepełnosprawnej
opiekun osoby starszej
opiekun w domu pomocy społecznej
opiekunka środowiskowa",427 Z
Targówek,Policealna Szkoła Zawodowa Edicus w Warszawie,Trocka,4,03-563,Warszawa,"technik administracji, technik rachunkowości, technik informatyk, technik bezpieczeństwa i higieny pracy, technik usług kosmetycznych",481 Z
Targówek,Zaoczna Policealna Szkoła Zawodowa LOGOS (II miejsce: ul. Kawęczyńska 36),Trocka,4,03-563,Warszawa,"opiekun w domu pomocy społecznej                            , technik bezpieczeństwa i higieny pracy                            , technik rachunkowości,                                  technik administracji,                                                      technik informatyk,                                               technik turystyki wiejskiej",435 Z
Ursynów,Policealne Studium Reklamy Handlowej,S. Szolc-Rogozińskiego ,3,02-777,Warszawa,asystent kierownika produkcji filmowej i telewizyjnej,42 Z
Ursynów,"Warszawska Akademia Reklamy, Fotografii i Filmu-Policealne Studium Zawodowe w Warszawie",S. Szolc-Rogozińskiego ,3,02-777,Warszawa,asystent kierownika produkcji filmowej i telewizyjnej,234 Z
Ursynów,EDULIDER Szkoła Policealna w Warszawa,Sarabandy,16/22,02-868,Warszawa,"asystent osoby niepełnosprawnej
opiekunka środowiskowa
opiekun w domu pomocy społecznej
technik administracji
technik archiwista
",489 Z
Ursynów,PRYMUS Szkoła Policealna w Warszawa,Sarabandy,16/22,02-868,Warszawa,"asystent osoby niepełnosprawnej
opiekunka środowiskowa
opiekun w domu pomocy społecznej
technik administracji
technik archiwista
technik bezpieczeństwa i higieny pracy
florysta
technik usług kosmetycznych
opiekunka dziecięca
",488 Z
Wesoła,Policealna Europejska Szkoła Zawodowa w Wesołej,Kruszyny ,14a,05-077,Warszawa,"Technik informatyk
technik rachunkowości
technik administracji
technik bhp
technik ochrony fizycznej osób i mienia",201 Z
Wola,Akademia - Policealna Szkoła Zawodowa nr 1,Jana Kazimierza,45/5,01-248,Warszawa,"technik informatyk
technik usług kosmetycznych
opiekun w domu pomocy społecznej
opiekunka środowiskowa
technik administracji
technik rachunkowości
technik masażysta
technik weterynarii",325 Z
Wola,Medyczne Studium Zawodowe ,M. Kasprzaka,49,01-234,Warszawa,"technik masażysta
               ",29 Z
Wola,"Policealna Szkoła  ""COSINUS I"" w Warszawie  ( II miejsce ul. Kasprzaka 1/3; III miejsce ul. Szolc-Rogozińskiego 2; IV miejsce Ul. Filarecka 2; , V miejsce ul. Chłodna 36/46,   VI miejsce: ul. Żelazna 71, VII miejsce ul. Felińskiego 13) ",Łucka,13,00-842,Warszawa,"technik turystyki wiejskiej,
- technik geodeta
- technik eksploatacji iportów i terminali
- florysta,
-opiekun medyczny,
- technik usług kosmetycznych,
- asystent kierownika produkcji filmowej/telewizyjnej,
- technik masażysta,
- opiekunka dziecięca
- technik sterylizacji medycznej,
-technik elektroniki i informatyki medycznej,
-terapeuta zajęciowy

",285 Z
Wola,"Policealna Szkoła Medyczna ""COSINUS"" w Warszawie
(II. Miejsce prowadzenia ul. A. Felińskiego 13)",Łucka   ,13,00-842,Warszawa,"opiekun medyczny,                                           technik masażysta, opiekunka dziecięca,                                                                  higienistka stomatologiczna,                        asystentka stomatologiczna
technik sterylizacji medycznej
technik elektroniki i informatyki medycznej, terapeuta zajęciowy
",439 Z
Wola,Policealna Szkoła Kosmetyczna   Barbary Jaroszewskiej ,Okopowa   ,55a,01-043,Warszawa,technik usług kosmetycznych,74 Z
,,,,,, ,