dzielnica,nazwa szkoły,ulica,nr,kod,miasto,Zawód/Profile,numer ewidencyjny
Bielany,"Prywatne Technikum Handlowo-Menedżerskie ""Hermes""",Kochanowskiego,1,01-864,Warszawa,"technik handlowiec
technik informatyk",129 Z
Praga Południe,Technikum Zawodowe,Kaleńska,3,04-367,Warszawa,"technik usług fryzjerskich
technik informatyk",343 Z
Praga Południe,Technikum Kelnerskie,Kaleńska,3,04-367,Warszawa,kelner,412 Z
Praga Południe,Technikum Hotelarskie,Kaleńska,3,04-367,Warszawa,technik hotelarstwa,413 Z
Praga Południe,Technikum Handlowe,Kaleńska,3,04-367,Warszawa,technik handlowiec,416 Z
Praga Południe,Technikum Obsługi Turystycznej,Kaleńska,3,04-367,Warszawa,technik obsługi turystycznej,417 Z
Praga Północ,Prywatne Technikum Weterynarii nr 1 w Prywatnym Centrum Kształcenia Zawodowego,Kijowska ,3,03-738,Warszawa,technik weterynarii,66 Z
Śródmieście,NOVA Technikum Kluczowych Kompetencji Młodzieży w Warszawie,Widok,8,00-023,Warszawa,"technik informatyk
technik usług fryzjerskich",466 Z
Śródmieście,Niepubliczne Technikum Usługowe Zakładu Doskonalenia Zawodowego,Podwale,13,00-252,Warszawa,"technik usług fryzjerskich
technik realizacji nagrań i nagłośnień
technik realizacji nagrań 
technik realizacji nagłośnień
kelner, technik informatyk,
technik żywienia i usług gastronomicznych",329 Z
Śródmieście,Technikum Weterynaryjne,Karmelicka,9,00-155,Warszawa,technik weterynarii,487 Z
Śródmieście,Technikum Analityki,Karmelicka,9,00-155,Warszawa,technik analityk,486 Z
Wola,Akademia-Technikum dla Młodzieży w Warszawie,Jana Kazimierza,45/5,01-248,Warszawa,technik weterynarii                       technik usług fryzjerskich,474 Z